iter	Passed	Remaining
697	1931	835
698	1934	833
699	1937	830
700	1939	827
701	1941	824
702	1943	821
703	1945	818
704	1947	814
705	1949	811
706	1951	808
707	1953	805
708	1955	802
709	1957	799
710	1959	796
711	1962	793
712	1964	790
713	1966	787
714	1968	784
715	1970	781
716	1972	778
717	1974	775
718	1976	772
719	1978	769
720	1980	766
721	1982	763
722	1984	760
723	1986	757
724	1988	754
725	1990	751
726	1993	748
727	1995	745
728	1997	742
729	1999	739
730	2001	736
731	2003	733
732	2005	730
733	2007	727
734	2009	724
735	2011	721
736	2013	718
737	2015	715
738	2017	712
739	2019	709
740	2021	706
741	2023	703
742	2026	700
743	2027	697
744	2030	694
745	2032	691
746	2034	688
747	2036	686
748	2038	683
749	2040	680
750	2042	677
751	2044	674
752	2046	671
753	2049	668
754	2051	665
755	2053	662
756	2055	659
757	2057	656
758	2059	654
759	2062	651
760	2064	648
761	2067	645
762	2069	642
763	2071	639
764	2074	637
765	2076	634
766	2078	631
767	2080	628
768	2082	625
769	2084	622
770	2086	619
771	2089	617
772	2091	614
773	2094	611
774	2096	608
775	2098	605
776	2100	602
777	2102	599
778	2104	596
779	2106	594
780	2108	591
781	2110	588
782	2112	585
783	2114	582
784	2116	579
785	2118	576
786	2120	573
787	2122	571
788	2124	568
789	2126	565
790	2128	562
791	2130	559
792	2133	556
793	2135	553
794	2137	551
795	2139	548
796	2141	545
797	2143	542
798	2145	539
799	2147	536
800	2149	534
801	2151	531
802	2153	528
803	2155	525
804	2157	522
805	2159	519
806	2161	517
807	2163	514
808	2165	511
809	2167	508
810	2170	505
811	2172	502
812	2174	500
813	2176	497
814	2179	494
815	2181	491
816	2183	489
817	2186	486
818	2188	483
819	2190	480
820	2192	478
821	2194	475
822	2196	472
823	2198	469
824	2200	466
825	2202	463
826	2204	461
827	2206	458
828	2208	455
829	2210	452
830	2212	450
831	2214	447
832	2216	444
833	2218	441
834	2220	438
835	2223	436
836	2225	433
837	2227	430
838	2229	427
839	2231	425
840	2233	422
841	2236	419
842	2238	416
843	2240	414
844	2242	411
845	2244	408
846	2246	405
847	2248	403
848	2250	400
849	2252	397
850	2254	394
851	2256	392
